what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_GB",1271240313591
processors,sysinfo,,,"2",1271240313591
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271240313591
java.runtime.version,sysinfo,,,"1.6.0_18-ea-b04",1271240313591
java.specification.name,sysinfo,,,"Java Platform API Specification",1271240313591
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271240313591
java.specification.version,sysinfo,,,"1.6",1271240313591
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271240313591
java.version,sysinfo,,,"1.6.0_18-ea",1271240313591
java.vm.info,sysinfo,,,"mixed mode, sharing",1271240313591
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271240313591
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271240313591
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271240313591
java.vm.specification.version,sysinfo,,,"1.0",1271240313591
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271240313591
java.vm.version,sysinfo,,,"16.0-b11",1271240313591
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271240317249
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271240317273
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1271240317304
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1271240323202
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271240323251
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271240324390
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271240324413
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271240329186
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271240341138
