what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236937593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236945812
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236946015
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236946125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236948546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236964921
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236965125
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236965234
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271236965859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236968609
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1271236972500
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1271236973062
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1271236974468
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1271236974625
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1271236975359
started,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1271236976078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236979187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236983265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271237001421
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271237001703
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271237001875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271237004125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271237018671
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271237018875
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271237019000
